stn,stn_nam,network,lat,lon,ele,styr,enyr,per_na_prcp,per_na_tmin,per_na_tmax
53123,Gamma,MoTIe,56.947,-130.107,1175,1998,2023,6.383,48.015,48.015
53125,Snowbank Road,MoTIe,56.754,-129.935,588,2006,2023,2.09,34.925,34.925
53126,Carl's Corner,MoTIe,56.929,-130.09,504,2006,2023,3.136,30.873,30.873
53127,Gamma High,MoTIe,56.951,-130.095,1540,2008,2023,3.959,55.858,55.858
53128,Revision,MoTIe,56.795,-129.975,1500,2008,2023,3.206,54.433,54.433
53221,Jade City,MoTIe,59.249,-129.657,940,2004,2023,3.301,45.243,45.243
53321,Telegraph,MoTIe,57.913,-131.131,290,2003,2023,2.206,36.325,36.325
54091,Hungry Hill,MoTIe,54.482,-126.744,820,2001,2023,2.246,31.029,31.029
55091,Stearns,MoTIe,54.192,-125.536,719,2003,2023,2.689,29.4,29.4
56,BOWSER,FLNRO-WMB,49.437,-124.703,184,1989,2023,3.808,100,100
59,CEDAR,FLNRO-WMB,49.048,-123.875,100,1989,2023,4.734,100,100
599,FORT NELSON FS,FLNRO-WMB,58.838,-122.575,382,1999,2023,9.723,100,100
60,ZZ SALTSPRING,FLNRO-WMB,48.778,-123.453,150,1991,2001,13.939,13.083,13.083
63093,Cochrane,MoTIe,49.371,-124.616,115,2000,2023,7.044,9.559,9.559
63094,Kennedy Lake,MoTIe,49.101,-125.452,35,2010,2023,6.931,12.186,12.186
64091,Tsitika Summit,MoTIe,50.282,-126.355,436,2002,2023,11.352,17.286,17.286
64093,North Courtenay,MoTIe,49.83,-125.19,100,2002,2023,2.156,5.648,5.648
65,ZZ GROUSE,FLNRO-WMB,49.4,-123.1,981,1973,1988,75.926,75.926,75.926
654,HOLY CROSS 2,FLNRO-WMB,53.936,-124.776,961,1998,2023,21.397,100,100
66,BIG SILVER,FLNRO-WMB,49.691,-121.86,8,1992,2007,27.33,26.852,26.852
67,HAIG CAMP,FLNRO-WMB,49.369,-121.492,162,2002,2023,2.864,100,100
692,ZZ MOOSE,FLNRO-WMB,51.6,-120.9,1064,1992,2004,86.896,86.896,86.896
72,UBC RESEARCH,FLNRO-WMB,49.265,-122.573,98,1990,2023,7.661,100,100
73,ZZ RED MTN,FLNRO-WMB,49.2,-122.3,504,1981,1994,59.137,59.137,59.137
74,CHILLIWACK NURSERY,FLNRO-WMB,49.098,-121.663,295,1990,2010,17.828,17.495,17.495
75,TOBA CAMP,FLNRO-WMB,50.568,-124.073,1,1998,2023,10.56,100,100
758,ZZ BUSH RIVER,FLNRO-WMB,51.5,-117.2,8,1989,1999,94.145,94.145,94.145
76,ZZ SQUAMISH R/S,FLNRO-WMB,49.7,-123.1,0,1970,1988,70.018,70.018,70.018
764,ZZ CARIBOU,FLNRO-WMB,51.1,-117.1,16,1989,1999,72.159,72.159,72.159
770703,Pine River Gas Plant,ENV-AQN,55.575,-121.921,1113,2001,2020,100,47.184,47.184
770708,Taylor Townsite,ENV-AQN,56.151,-120.686,480,2000,2020,100,40.099,40.099
78,ZZ JERVIS,FLNRO-WMB,50.2,-123.6,5,1971,1990,84.487,84.487,84.487
788,ROUND PRAIRIE,FLNRO-WMB,50.087,-114.9,1647,2001,2023,5.843,100,100
789,NEGRO CK,FLNRO-WMB,49.454,-115.987,1572,2001,2023,1.908,100,100
79,ZZ KNIGHT INLET,FLNRO-WMB,51.1,-125.6,0,1970,1982,62.589,62.589,62.589
790,WHITE RIVER,FLNRO-WMB,50.185,-115.266,1357,2000,2023,3.706,100,100
791,CHERRY LAKE,FLNRO-WMB,49.188,-115.542,1372,1999,2023,3.887,100,100
793,CARIBOO CK,FLNRO-WMB,51.177,-117.23,1518,2001,2021,5.136,100,100
8,ZZ SARITA,FLNRO-WMB,48.8,-124.9,3,1978,1991,61.248,61.248,61.248
802,ZZ CANAL FLATS,FLNRO-WMB,50.1,-115.8,846,1991,2001,61.748,61.748,61.748
82,SCAR CREEK,FLNRO-WMB,51.19,-125.028,50,1995,2023,10.536,100,100
832,CHURN CREEK,FLNRO-WMB,51.403,-122.32,1100,2003,2023,10.329,100,100
836,AUGUST LAKE,FLNRO-WMB,49.434,-120.457,855,2003,2023,12.358,100,100
838,AKOKLI CREEK,FLNRO-WMB,49.436,-116.746,821,2003,2023,5.995,100,100
865,BRISCO,FLNRO-WMB,50.819,-116.245,930,2004,2023,0.084,100,100
866,BLAEBERRY,FLNRO-WMB,51.436,-117.057,861,2004,2023,1.538,100,100
868,BIG-MOUTH 2,FLNRO-WMB,51.853,-118.591,1091,2004,2023,13.242,100,100
873,CRAWFORD,FLNRO-WMB,50.765,-117.958,887,2004,2023,5.533,100,100
876,IDA BELL III,FLNRO-WMB,49.767,-119.124,1300,2004,2023,5.834,100,100
882,SICAMOUS,FLNRO-WMB,50.864,-119.002,1050,2004,2023,4.06,100,100
886,GOATHAVEN,FLNRO-WMB,49.667,-115.214,1051,2004,2023,5.013,100,100
9,ZZ BR417,FLNRO-WMB,48.8,-125,1,1978,1992,87.476,87.476,87.476
903,CARROTT LAKE,FLNRO-WMB,53.4,-124.44,1000,2005,2019,12.231,100,100
904,HAGENSBORG II,FLNRO-WMB,52.387,-126.59,50,2005,2023,1.676,100,100
905,DOWNIE,FLNRO-WMB,51.515,-118.272,757,2005,2023,12.298,100,100
91,ZZ JUSKATLA,FLNRO-WMB,53.7,-132.3,5,1982,1994,53.241,53.241,53.241
919,GOLDSTREAM II,FLNRO-WMB,51.669,-118.487,1333,2005,2023,9.036,100,100
93,HONNA,FLNRO-WMB,53.255,-132.135,100,1990,2023,20.053,100,100
934,MESACHIE 2,FLNRO-WMB,48.818,-124.136,210,2006,2023,6.34,100,100
938,PINE CREEK,FLNRO-WMB,54.684,-127.326,1320,2006,2023,12.756,100,100
944,TS SAN JUAN,FLNRO-WMB,48.571,-124.201,296,2006,2023,2.293,100,100
945,TS NAKA CREEK,FLNRO-WMB,50.369,-126.434,510,2006,2023,1.94,100,100
956,TS EFFINGHAM,FLNRO-WMB,49.17,-125.282,632,2006,2023,3.608,100,100
97,ZZ COPPER,FLNRO-WMB,53.15,-131.86,287,1990,2005,28.794,28.281,28.281
977,ANDERSON CREEK,FLNRO-WMB,49.655,-121.358,630,1904,2023,86.541,100,100
99,ZZ FIRVALE,FLNRO-WMB,52.5,-126.3,0,1970,1982,59.015,59.015,59.015
995,TS ARTLISH,FLNRO-WMB,50.132,-126.928,130,2007,2023,0.372,100,100
AKI,Akie nr the 760m contour,BCH,57.188,-124.896,760,1982,2023,5.027,3.443,3.443
AKN,Aiken Lake,BCH,56.437,-125.742,970,1960,2023,0.627,1.714,1.714
ALU,Alouette Lake forebay,BCH,49.287,-122.486,125,1960,2023,75.549,0.249,0.249
ASH,Elsie Lk forebay,BCH,49.441,-125.144,340,1980,2023,1.148,1.154,1.154
BAR,Barnes Ck,BCH,50.066,-118.349,1620,1960,2023,0.12,0.12,0.12
BCK,Bear Ck Res.,BCH,48.503,-123.914,419,1980,2023,0.567,0.574,0.574
BIR,Columbia R. @ Birchbank,BCH,49.178,-117.716,410,1987,2023,14.33,2.2,2.2
Blackhawk,Blackhawk,FLNRO-FERN,55.079,-120.352,962.492,2012,2023,0,0,0
BLN,Bralorne Upper,BCH,50.799,-122.745,1920,1984,2023,0.4,0.4,0.4
BMN,Brenda Mines,BCH,49.868,-119.989,1460,1993,2023,1.232,3.026,3.026
BoulderCr,Boulder Creek,FLNRO-FERN,55.108,-127.375,385.101,2010,2022,13.063,13.063,13.063
BRI,Bridge R. blw Glacier,BCH,50.856,-123.45,1350,1982,2023,9.563,2.978,2.978
BUL,Bull R. @ Wardner,BCH,49.493,-115.364,800,1982,2023,4.16,5.133,5.133
BVR,Beaver R. nr the Mouth,BCH,51.51,-117.462,780,1985,2021,4.461,4.305,4.305
Canoe,Canoe Mountain Stn,FLNRO-FERN,52.71,-119.191,2210,2012,2023,16.722,16.722,16.722
CHK,Cheakamus R. ab Millar Ck,BCH,50.08,-123.034,640,1960,2023,0.563,1.593,1.593
CHW,Chowade Upper,BCH,56.637,-122.779,1480,1980,2023,0.865,2.532,2.532
CLO,Clowhom Falls,BCH,49.708,-123.522,10,1960,2023,0.382,0.421,0.421
CLW,Clowhom R. nr Clowhom Lake,BCH,49.788,-123.42,125,1993,2023,11.123,9.796,9.796
CMS,Daisy Lake Dam,BCH,49.975,-123.135,390,1960,2016,0,0,0
CMU,Upper Cheakamus,BCH,50.122,-123.133,880,1960,2023,0.249,0.249,0.249
CMX,Comox Dam forebay,BCH,49.643,-125.094,135,1980,2023,0.759,0.765,0.765
COQ,Coquitlam Lake forebay,BCH,49.356,-122.78,160,1960,2023,77.511,2.212,2.212
COX,Comox Lake @ Courtenay,BCH,49.64,-125.08,140,1993,2021,5.445,6.475,6.475
CQM,Coquitlam R. ab Lake,BCH,49.488,-122.792,290,1960,2023,0.511,0.511,0.511
CRU,Cruickshank R. nr the Mouth,BCH,49.579,-125.201,150,1980,2023,0.759,0.765,0.765
CrystalLk,Crystal Lake,FLNRO-FERN,54.423,-122.628,744.027,2010,2022,3.412,3.412,3.412
CSC,Coursier Lake - climate,BCH,50.721,-118.101,1265,1996,2017,16.627,2.985,2.985
DBC,Duncan R. blw BB Ck,BCH,50.638,-117.049,590,1960,2023,2.474,2.912,2.912
DCN,Duncan Res. @ Duncan Dam,BCH,50.255,-116.948,580,1984,2023,7.751,4.621,4.621
E208096,Quesnel Senior Secondary,ENV-AQN,52.982,-122.492,500,2007,2019,100,66.05,66.05
E224014,Prince George Glenview School,ENV-AQN,53.996,-122.776,750,1996,2019,100,40.066,40.066
E225267,Burns Lake Fire Centre,ENV-AQN,54.231,-125.764,652,1997,2020,100,34.293,34.293
E230557,Telkwa,ENV-AQN,54.691,-127.055,510,1998,2017,100,46.669,46.669
E230617,Ainsworth 100 Mile,ENV-AQN,51.653,-121.365,1063,1998,2017,100,41.266,41.266
E231866,Victoria Topaz,ENV-AQN,48.442,-123.363,31,2001,2020,100,45.369,45.369
E233625,Qualicum Beach Jones Street,ENV-AQN,49.339,-124.452,98,1999,2009,100,5.563,5.563
E234230,Taylor South Hill,ENV-AQN,56.106,-120.663,686,2000,2020,100,48.593,48.593
E237631,Pine River Hasler,ENV-AQN,55.606,-121.972,610,2001,2020,100,43.441,43.441
E237758,Trail Columbia Gardens Airport,ENV-AQN,49.045,-117.607,418,1999,2020,100,45.148,45.148
E238705,Powell River Pacifica,ENV-AQN,49.874,-124.556,45,2000,2020,100,44.302,44.302
E243003,Golden Lady Grey School,ENV-AQN,51.296,-116.972,773,2000,2020,100,40.944,40.944
E248623,Williams Lake Canadian Tire,ENV-AQN,52.118,-122.131,578,2002,2017,100,50.935,50.935
E248774,Kwoen Gas Plant,ENV-AQN,55.378,-121.705,665,2002,2020,100,77.671,77.671
E249492,Vernon Science Centre,ENV-AQN,50.261,-119.27,385,2003,2020,100,47.933,47.933
E254955,Hope Othello Compressor Station,ENV-AQN,49.383,-121.365,228,2004,2020,100,59.963,59.963
E257435,Birch Bank Golf Course,ENV-AQN,49.158,-117.733,527,2004,2020,100,50.872,50.872
E262779,Grand Forks Airport,ENV-AQN,49.015,-118.427,520,2006,2020,100,56.383,56.383
E264682,Merritt Parcel Street,ENV-AQN,50.105,-120.792,603,2006,2020,100,58.691,58.691
E269223,Vanderhoof Courthouse,ENV-AQN,54.016,-124.006,638,2007,2020,100,62.584,62.584
E274205,Valemount Courthouse,ENV-AQN,52.833,-119.268,792,2008,2019,100,76.28,76.28
EAC,East Ck - snowpillow,BCH,50.64,-116.93,2030,1960,2023,0.12,1.117,1.117
ELK,Elk R. ab Campbell Lk,BCH,49.857,-125.813,270,1980,2019,0.214,0.221,0.221
ELR,Elk R. @ Fernie,BCH,49.51,-115.07,1000,1982,2019,0.442,2.014,2.014
ERC,Eric Ck,BCH,49.605,-125.288,280,1980,2023,1.148,1.154,1.154
FDL,Fidelty Mtn.,BCH,51.237,-117.701,1800,1982,2023,4.371,3.373,3.373
FIN,Finlay R. ab Akie R.,BCH,57.125,-125.249,711,1960,2023,2.212,2.212,2.212
FLK,Floe Lk,BCH,51.06,-116.137,2090,1993,2023,28.605,28.426,28.426
FST,Kootenay R. @ Fort Steele,BCH,49.611,-115.635,770,1982,2023,7.422,8.131,8.131
GLD,Gold R. nr Ucona R.,BCH,49.706,-126.106,10,1993,2023,2.912,5.049,5.049
GOC,Gold Ck,BCH,49.447,-122.477,794,1960,2023,0.249,0.249,0.249
GOL,Goldstream R. blw Old Camp Ck,BCH,51.668,-118.597,600,1960,2023,2.212,3.402,3.402
GRN,Green Mtn.,BCH,50.796,-122.925,1780,1984,2023,28.161,1.769,1.769
GRP,Glacier nr Roger's Pass,BCH,51.27,-117.509,1182,1982,2023,0.602,0.187,0.187
GRT,Kinbasket Lake blw Garrett,BCH,51.877,-117.878,770,1985,2023,4.586,5.102,5.102
HEB,Heber R. nr Gold R.,BCH,49.815,-125.986,215,1993,2021,2.526,3.352,3.352
HFF,Halfway R. @ Farrell Ck,BCH,56.251,-121.629,480,1981,2023,1.408,0.846,0.846
Hourglass,Hourglass,FLNRO-FERN,55.213,-120.772,1131.2,2012,2023,0,0,0
HRN,Horn Ck,BCH,56.735,-123.606,1450,1981,2023,1.147,1.954,1.954
HUR,Hurley R. ab Lone Goat Ck,BCH,50.73,-122.942,990,1984,2023,4.908,6.207,6.207
ILL,Illecilliwaet R. @ Greeley,BCH,51.013,-118.083,500,1984,2023,5.16,5.224,5.224
ING,Ingenika R. ab Swannell R.,BCH,56.731,-125.103,711,1960,2023,1.954,1.954,1.954
JHT,John Hart sub-station,BCH,50.043,-125.309,15,1993,2023,5.936,7.067,7.067
Kluskus,Kluskus,FLNRO-FERN,53.398,-124.513,1110.35,2010,2022,4.307,100,100
KWA,Kwadacha North - snowpillow,BCH,57.623,-125.073,1554,1980,2023,3.467,6.323,6.323
LJU,LaJoie Upper,BCH,50.859,-123.183,1829,1984,2016,0,0,0
LST,Williston @ Lost Cabin Ck,BCH,56.051,-123.747,712,1983,2023,17.868,5.664,5.664
M101004,Crofton,ENV-AQN,48.88,-123.646,20,1990,2009,100,8.916,8.916
M101110,Saturna Met,ENV-AQN,48.774,-123.17,445,1985,1995,100,3.057,3.057
M102038,Harmac Pacific,ENV-AQN,49.135,-123.848,23,1996,2020,100,34.381,34.381
M104270,Squamish,ENV-AQN,49.7,-123.154,10,1985,2009,100,0.705,0.705
M104273,Langdale Ferry Terminal,ENV-AQN,49.434,-123.472,15,1987,2009,100,35.924,35.924
M106008,Kitimat Eurocan Dock,ENV-AQN,53.995,-128.678,10,1996,2009,100,2.366,2.366
M106009,Kitimat Haul Road,ENV-AQN,54.03,-128.702,2,1996,2009,100,0.172,0.172
M106010,Kitimat Whitesail,ENV-AQN,54.068,-128.64,119,1997,2009,100,0.176,0.176
M107004,Houston Firehall,ENV-AQN,54.397,-126.645,594,1994,2020,100,31.422,31.422
M107005,Smithers St Josephs,ENV-AQN,54.783,-127.177,481,1994,2009,100,1.297,1.297
M107028,Terrace BC Access Centre,ENV-AQN,54.518,-128.597,80,1996,2009,100,1.667,1.667
M109912,Prince George Plaza 400,ENV-AQN,53.913,-122.741,595,1984,2009,100,4.385,4.385
M109913,Prince George Northwood,ENV-AQN,53.968,-122.691,577,1987,2009,100,0,0
M109914,Prince George Pulp,ENV-AQN,53.924,-122.686,600,1987,2020,100,24.572,24.572
M110510,Pitt Meadows,ENV-AQN,49.217,-122.717,3,1986,1996,100,4.181,4.181
M110513,Surrey Echo,ENV-AQN,49.19,-122.798,82,1985,1996,100,7.489,7.489
M111065,Quesnel Linden,ENV-AQN,53.01,-122.504,543,1990,2009,100,7,7
M111068,Glendale,ENV-AQN,52.152,-122.174,628,1990,2009,100,0.627,0.627
M111073,Quesnel CP,ENV-AQN,52.992,-122.488,488,1991,2020,100,29.337,29.337
M112070,Kelowna College,ENV-AQN,49.861,-119.475,300,1994,2009,100,0.466,0.466
M114009,Celgar Pulp,ENV-AQN,49.333,-117.719,449,1999,2020,100,39.588,39.588
M114018,Creston PC School,ENV-AQN,49.094,-116.512,609,1995,2007,100,7.696,7.696
M114902,Trail,ENV-AQN,49.096,-117.696,977,1985,2009,100,13.099,13.099
M115024,Skookumchuck,ENV-AQN,49.837,-115.746,783,1987,2005,100,6.113,6.113
M116003,Kamloops Brocklehurst,ENV-AQN,50.697,-120.397,347,1996,2009,100,0,0
MacJxn,Mackenzie Jxn,FLNRO-FERN,55.138,-122.977,718.723,2010,2022,3.895,3.895,3.895
MCQ,McQue Terrace,BCH,56.981,-123.404,1200,1980,2023,0.865,2.538,2.538
MES,Mesilinka R. ab Gopherhole Ck,BCH,56.245,-124.644,728,1983,2002,0,0.014,0.014
MIS,Mission Ridge,BCH,50.763,-122.208,1850,1984,2023,0.407,0.414,0.414
MOB,Moberly R. @ Ft. St. John,BCH,56.093,-121.347,600,1982,2023,0.973,1.337,1.337
MOL,Molson Ck,BCH,52.222,-118.226,1935,1984,2023,0.442,1.802,1.802
MOR,Morrissey Ridge,BCH,49.447,-114.975,1860,1983,2023,0.479,0.397,0.397
MTR,Mt. Revelstoke,BCH,51.039,-118.15,1850,1993,2023,1.425,3.117,3.117
NAT,Nation R. nr the Mouth,BCH,55.43,-123.61,725,1982,2017,0.223,2.673,2.673
NTY,North Tyaughton Ck,BCH,51.148,-122.794,1969,1984,2023,3.826,3.826,3.826
OMI,Ominica R. ab Osilinka R.,BCH,55.94,-124.56,715,1983,2017,6.844,2.458,2.458
OSL,Osilinka R. nr End Lk,BCH,56.127,-124.801,775,1982,2017,1.422,2.686,2.686
OSP,Ospika R. ab Alley Ck,BCH,56.46,-123.93,750,1960,2017,0,1.397,1.397
PAK,Pack R. @ outlet of Mcleod Lk,BCH,54.998,-123.037,675,1960,2023,2.07,3.29,3.29
PAR,Parsnip Upper,BCH,54.612,-122.146,790,1960,2023,5.21,6.434,6.434
PMD,GMS Hudson's Hope,BCH,56.013,-122.183,720,1985,2023,5.412,17.055,17.055
PNK,Pink Mtn.,BCH,57.002,-122.354,1204,1980,2023,1.107,2.932,2.932
PRS,Parsnip R. ab Misinchinka R.,BCH,55.08,-122.9,700,1983,2023,0.533,0.397,0.397
PUL,Pulpit Lk,BCH,57.548,-126.749,1311,1989,2023,1.823,22.452,22.452
PYN,Pine Pass,BCH,55.353,-122.637,1400,1988,2023,1.615,3.457,3.457
QBY,Queen's Bay -  elevation,BCH,49.654,-116.93,545,1987,2023,8.416,4.988,4.988
QIN,Quinsam R. @ Argonaut Brg,BCH,49.93,-125.5,280,1993,2017,0.295,1.982,1.982
QSM,Quinsam R. nr Campbell R.,BCH,50.029,-125.3,15,1985,2017,0.428,1.49,1.49
SAM,Salmon R. ab the Diversion,BCH,50.092,-125.672,215,1985,2017,0,1.824,1.824
SCA,Strathcona Dam,BCH,49.997,-125.584,227,1980,2016,0,0.008,0.008
SGL,Sugar Lake Res. @ Outlet,BCH,50.35,-118.53,675,1999,2023,12.449,7.945,7.945
SLK,St. Leon Ck,BCH,50.434,-117.701,1800,1993,2023,0.953,2.262,2.262
SON,Shalalth,BCH,50.728,-122.242,290,1984,2016,0,0,0
STA,Stave R. ab Stave Lk,BCH,49.556,-122.322,330,1960,2023,1.95,1.95,1.95
STV,Stave R. Upper,BCH,49.624,-122.402,930,1960,2023,0.249,0.249,0.249
WAH,Wahleach (Jones) Res.,BCH,49.232,-121.619,641,1960,2023,15.393,15.38,15.38
WOL,Wolf R. Upper,BCH,49.681,-125.742,1490,1980,2023,23.674,23.234,23.234
WON,Wonowon,BCH,56.729,-121.804,910,1980,2023,1.107,2.938,2.938
WSC,Williston @ Schooler Ck,BCH,56.106,-122.716,676,1982,2023,31.485,20.571,20.571
